checkpoint,aggregate,arc_acc,trivia_em,trivia_f1,flan_em,flan_f1,seconds
checkpoints\sft\checkpoint-2600,0.1800,0.2619,0.0714,0.0976,0.0000,0.1313,16.9
checkpoints\sft\checkpoint-2200,0.1765,0.2619,0.0714,0.0992,0.0000,0.1154,21.6
checkpoints\sft\checkpoint-2400,0.1625,0.2381,0.0714,0.0873,0.0000,0.1167,16.6
checkpoints\sft\checkpoint-2824,0.1544,0.2143,0.0714,0.0976,0.0000,0.1149,16.1
checkpoints\sft\sft_final,0.1544,0.2143,0.0714,0.0976,0.0000,0.1149,16.9
checkpoints\sft\checkpoint-2800,0.1447,0.1905,0.0714,0.0992,0.0000,0.1167,18.2
